Datetime,Price,LongTerm,ShortTerm,LTSD,Position,Record,Cash,Sunk,Balance
2021-07-02 13:30:00-04:00,9.128143335125216,9.141609435950901,9.244252062874468,0.27324997438034315,-1,0.0,12.87006286638244,-9.128143335125216,3.741919531257224
2021-07-02 13:45:00-04:00,9.147121478484834,9.141687620952135,9.24084397219413,0.2632161535059351,-1,0.0,12.87006286638244,-9.147121478484834,3.722941387897606
2021-07-02 14:00:00-04:00,9.128158201531846,9.141495714291867,9.236890085504223,0.253471300540344,-1,0.0,12.87006286638244,-9.128158201531846,3.741904664850594
2021-07-02 14:15:00-04:00,9.16674669672264,9.14185388425878,9.234428913968026,0.24401177987409794,-1,0.0,12.87006286638244,-9.16674669672264,3.7033161696598
2021-07-02 14:30:00-04:00,9.18055624180657,9.142402853874456,9.23253864476938,0.23482063284872887,-1,0.0,12.87006286638244,-9.18055624180657,3.68950662457587
2021-07-02 14:45:00-04:00,9.171314504283288,9.14281294821023,9.230390429313726,0.2258939818283897,-1,0.0,12.87006286638244,-9.171314504283288,3.6987483620991526
2021-07-02 15:00:00-04:00,9.076538197434829,9.141872880814908,9.224992105388152,0.21730465076365194,-1,0.0,12.87006286638244,-9.076538197434829,3.7935246689476116
2021-07-02 15:15:00-04:00,9.218748697603175,9.142963317942119,9.224773038448328,0.2090562469814991,-1,0.0,12.87006286638244,-9.218748697603175,3.6513141687792654
2021-07-02 15:30:00-04:00,9.206586428233052,9.14386577341511,9.224134911774108,0.2011953010093941,-1,0.0,12.87006286638244,-9.206586428233052,3.663476438149388
2021-07-02 15:45:00-04:00,9.180448465958975,9.14438467685991,9.222602054026208,0.19372862918985628,-1,0.0,12.87006286638244,-9.180448465958975,3.6896144004234657
2021-07-06 09:30:00-04:00,8.69450214497435,9.138003364296807,9.204072232655966,0.18666458831620175,-1,0.0,12.87006286638244,-8.69450214497435,4.17556072140809
2021-07-06 09:45:00-04:00,8.33251653962401,9.126578019170521,9.17349133114607,0.17998699098776355,-1,0.0,12.87006286638244,-8.33251653962401,4.537546326758431
2021-07-06 10:00:00-04:00,7.682290092535226,9.106091665432476,9.121168480668496,0.17369025503715302,-1,0.0,12.87006286638244,-7.682290092535226,5.187772773847215
2021-07-06 10:15:00-04:00,7.760863242788844,9.087010411055633,9.073438472321843,0.1678359422947062,0,1.0,5.109199623593597,0.0,5.109199623593597
2021-07-06 10:30:00-04:00,7.590826688093159,9.065787946730246,9.021417006208557,0.16242215901639268,1,1.0,-2.4816270644995626,7.590826688093159,5.109199623593597
2021-07-06 10:45:00-04:00,7.512999522692951,9.04376257883959,8.968490076962395,0.15748732172623348,1,0.0,-2.4816270644995626,7.512999522692951,5.031372458193388
2021-07-06 11:00:00-04:00,7.663850949370143,9.024189364084913,8.92271326546793,0.1530181907258496,1,0.0,-2.4816270644995626,7.663850949370143,5.182223884870581
2021-07-06 11:15:00-04:00,7.548037076354376,9.00325103360191,8.874479013218332,0.14901540568077937,1,0.0,-2.4816270644995626,7.548037076354376,5.066410011854813
2021-07-06 11:30:00-04:00,7.750002217363459,8.98547445451377,8.835023687047986,0.14541361039246953,1,0.0,-2.4816270644995626,7.750002217363459,5.2683751528638965
2021-07-06 11:45:00-04:00,7.641571230506074,8.966411997293568,8.793148162257042,0.1422966894107069,1,0.0,-2.4816270644995626,7.641571230506074,5.159944166006511
2021-07-06 12:00:00-04:00,7.838324014139602,8.950410749187997,8.75964556056871,0.1396013769470754,1,0.0,-2.4816270644995626,7.838324014139602,5.356696949640039
